Year,Month,Day,Hour,MOL
2018,1,1,0,3943.2
2018,1,1,1,2123.3
2018,1,1,2,2651.0
2018,1,1,3,1281.8
2018,1,1,4,898.6
2018,1,1,5,2121.5
2018,1,1,6,1666.4
2018,1,1,7,758.8
2018,1,1,8,282.9
2018,1,1,9,442.9
2018,1,1,10,-1854.1
2018,1,1,11,-1432.5
2018,1,1,12,-6708.1
2018,1,1,13,-618.4
2018,1,1,14,7766.1
2018,1,1,15,897.5
2018,1,1,16,1281.7
2018,1,1,17,1283.0
2018,1,1,18,1672.9
2018,1,1,19,2661.7
2018,1,1,20,3275.3
2018,1,1,21,2669.8
2018,1,1,22,1682.6
2018,1,1,23,699.8
2018,1,2,0,
2018,1,2,1,
2018,1,2,2,649.2
2018,1,2,3,306.7
2018,1,2,4,407.3
2018,1,2,5,471.8
2018,1,2,6,474.0
2018,1,2,7,338.9
2018,1,2,8,351.6
2018,1,2,9,881.6
2018,1,2,10,-1898.5
2018,1,2,11,-1857.4
2018,1,2,12,-1760.2
2018,1,2,13,-6325.2
2018,1,2,14,8888.0
2018,1,2,15,1689.7
2018,1,2,16,1673.2
2018,1,2,17,1531.8
2018,1,2,18,1281.8
2018,1,2,19,3941.2
2018,1,2,20,3241.0
2018,1,2,21,8888.0
2018,1,2,22,7805.9
2018,1,2,23,8888.0
2018,1,3,0,8888.0
2018,1,3,1,7806.7
2018,1,3,2,8888.0
2018,1,3,3,8888.0
2018,1,3,4,8888.0
2018,1,3,5,8888.0
2018,1,3,6,8888.0
2018,1,3,7,7842.7
2018,1,3,8,8888.0
2018,1,3,9,8888.0
2018,1,3,10,-8888.0
2018,1,3,11,-8888.0
2018,1,3,12,-8888.0
2018,1,3,13,-8888.0
2018,1,3,14,-8888.0
2018,1,3,15,7897.7
2018,1,3,16,8888.0
2018,1,3,17,7903.3
2018,1,3,18,6799.6
2018,1,3,19,4904.2
2018,1,3,20,2127.0
2018,1,3,21,3263.0
2018,1,3,22,2654.6
2018,1,3,23,2126.2
2018,1,4,0,1670.3
2018,1,4,1,1282.5
2018,1,4,2,576.5
2018,1,4,3,631.2
2018,1,4,4,107.1
2018,1,4,5,150.3
2018,1,4,6,341.8
2018,1,4,7,576.7
2018,1,4,8,431.9
2018,1,4,9,8888.0
2018,1,4,10,-8888.0
2018,1,4,11,-8888.0
2018,1,4,12,-8888.0
2018,1,4,13,-8888.0
2018,1,4,14,8888.0
2018,1,4,15,8888.0
2018,1,4,16,5757.4
